"T001","T002","T003","T004","T005","T006","T007","T008","T009","T010","T011","T012","T013","T014","T015","T016","T017","T018","T019","T020","T021","T022","T023","T024","T025","T026","T027","T028","T029","T030","T031","T032","T033","T034","T035","T036","T037","T038","T039","T040","T041","T042","T043","T044","T045","T046","T047","T048","T049","T050","T051","T052","T053","T054","T055","T056","T057","T058","T059","T060"
920.558316080055,897.503105590062,895.07729468599,892.554175293306,891.32022084196,895.169082125604,893.868184955141,895.55900621118,892.659765355418,889.700483091787,885.965493443754,890.431331953071,890.993098688751,891.16011042098,892.052449965493,896.088336783989,894.416839199448,893.11939268461,892.32022084196,894.67839889579,893.732919254658,893.505866114562,894.326432022084,890.815044858523,890.131124913734,889.113871635611,890.587301587302,890.470669427191,892.839199447895,890.24016563147,888.24154589372,887.934437543133,891.080745341615,894.471359558316,891.663906142167,891.187025534852,895.412698412698,896.632160110421,891.937198067633,888.91856452726,886.091787439614,890.984126984127,887.626639061422,889.337474120083,890.226363008972,893.786749482402,893.175983436853,893.909592822636,894.464458247067,891.706004140787,891.369220151829,890.958592132505,890.990338164251,890.60248447205,889.564527260179,890.815734989648,888.843340234645,890.274672187716,887.100069013112,893.852311939268
441.929662292966,413.46870294687,412.761669176167,412.147343514734,410.320068832007,411.275758227576,411.933964293396,411.886427188643,410.560980856098,408.511507851151,407.584856958486,410.081092708109,410.649817164982,410.648956764896,411.477091847709,412.733921273392,412.13959991396,411.682082168208,411.490643149064,411.270165627017,413.057861905786,410.90449559045,410.956549795655,409.812862981286,408.865132286513,409.435147343515,412.014411701441,411.517530651753,408.820391482039,409.284362228436,407.279630027963,409.552376855238,411.190793719079,410.496020649602,410.205205420521,410.636050763605,410.443966444397,410.116369111637,409.181759518176,406.023445902345,404.574532157453,405.232738223274,406.345450634545,407.218756721876,407.917616691762,408.556033555603,409.671542267154,410.578619057862,409.660357066036,409.167562916756,410.362658636266,410.379436437944,410.79909657991,408.209507420951,407.990320499032,408.946224994623,407.460959346096,407.984942998494,406.919982791998,409.917186491719
721.86877076412,575.511627906977,569.666112956811,572.031561461794,567.200996677741,569.599667774086,570.681063122924,569.794019933555,560.279069767442,568.176079734219,560.297342192691,566.347176079734,571.18438538206,572.704318936877,572.827242524917,571.161129568106,568.606312292359,578.511627906977,573.046511627907,572.654485049834,572.800664451827,572.031561461794,571.652823920266,573.951827242525,570.878737541528,567.867109634552,568.176079734219,569.888704318937,572.667774086379,570.621262458472,573.182724252492,573.602990033223,570.564784053156,571.063122923588,573.910299003322,575.707641196013,574.46511627907,570.830564784053,576.35049833887,568.305647840532,573.667774086379,573.611295681063,568.913621262458,572.787375415282,575.63122923588,578.981727574751,575.757475083057,580.573089700997,577.229235880399,571.028239202658,566.171096345515,571.312292358804,572.513289036545,572.715946843854,565.181063122924,577.56146179402,567.338870431894,572.320598006645,570.495016611296,573.84219269103
784.964125560538,727.634208840487,724.903587443946,725.219090326714,725.779628443306,728.725176169122,724.562459961563,722.143818065343,720.066623959001,718.747277386291,715.292440743113,720.346252402306,721.261691223575,721.000960922486,726.255605381166,729.74599615631,725.289878283152,725.771941063421,723.711402946829,726.33536194747,729.904548366432,730.531069827034,729.804292120436,727.572709801409,725.469891095452,722.337283792441,724.213965406791,722.354260089686,721.679692504805,724.130044843049,719.719090326714,718.331197950032,722.777706598334,725.987508007687,722.233824471493,726.411915438821,727.128122998078,719.984945547726,721.327674567585,718.668802049968,711.024983984625,717.288597053171,712.93529788597,719.763292761051,720.943625880846,723.536515054452,722.072709801409,724.116271620756,725.377001921845,722.201153106983,722.622998078155,721.864830237027,720.284753363229,721.396540679052,720.90935297886,721.209160794363,713.881486226778,717.579756566304,713.459641255605,718.320627802691
894.571975497703,838.908882082695,836.124808575804,836.166921898928,832.194486983155,832.487748851455,831.875191424196,836.894333843798,833.482388973966,830.426493108729,826.549770290965,827.151607963247,829.947166921899,833.078101071976,832.956355283308,829.814701378254,831.089586523737,835.136294027565,832.85528330781,831.989280245023,834.423430321593,830.094180704441,829.950995405819,829.226646248086,828.705206738132,826.183001531394,828.211332312404,834.713629402757,830.312404287902,828.509954058193,829.139356814701,832.509954058193,826.781776416539,829.035222052067,831.243491577335,832.360643185299,831.046707503828,835.695252679939,831.508422664625,826.733537519142,824.203675344564,822.048238897397,821.212098009188,828.344563552833,827.032159264931,828.542879019908,831.034456355283,833.683001531394,832.555895865237,830.733537519142,831.405053598775,831.563552833078,830.847626339969,825.348392036753,824.753445635528,828.349923430322,827.637825421133,829.151607963247,828.833078101072,830.28943338438
905.670549084859,840.843594009983,836.800332778702,835.727121464226,827.620632279534,836.442595673877,832.159733777038,835.472545757072,833.311148086523,822.988352745424,817.467554076539,824.344425956739,831.232945091514,828.692179700499,828.996672212978,836.319467554077,838.480865224626,834.113144758735,829.930116472546,834.058236272879,836.742096505824,838.206322795341,837.066555740433,833.289517470882,831.106489184692,830.763727121464,832.883527454243,835.633943427621,832.758735440932,832.677204658902,820.63227953411,822.051580698835,827.732113144759,837.587354409318,832.114808652246,834.956738768719,830.978369384359,836.217970049917,825.324459234609,825.098169717138,812.515806988353,818.577371048253,818.013311148086,822.457570715474,827.232945091514,837.021630615641,833.787021630616,837.605657237937,832.697171381032,833.718801996672,833.545757071547,836.590682196339,834.246256239601,831.409317803661,832.277870216306,833.467554076539,829.131447587354,831.093178036606,823.207986688852,827.073211314476
1019.71607753706,940.69897377423,937.39566704675,937.392246294185,931.568985176739,936.669327251995,935.27023945268,940.645381984036,935.858608893957,933.269099201824,923.630558722919,932.12086659065,932.106043329533,930.939566704675,935.346636259977,940.800456100342,934.039908779932,935.718358038769,931.765108323831,935.66590649943,939.901938426454,939.345496009122,939.144811858609,936.403648802737,933.759407069555,934.984036488027,934.809578107184,934.906499429875,936.189281641961,932.847206385405,927.762827822121,929.038768529076,937.33181299886,937.636259977195,934.18244013683,935.996579247434,936.381984036488,942.15393386545,934.751425313569,933.204104903079,926.521094640821,932.992018244014,928.697833523375,931.85062713797,936.877993158495,939.750285062714,938.448118586089,938.588369441277,939.057012542759,934.704675028506,934.354618015964,936.223489167617,939.888255416192,933.551881413911,936.098061573546,937.189281641961,929.071835803877,933.767388825542,928.616875712657,931.811858608894
913.214033316507,845.447753659768,850.929328621908,850.928319030793,841.840484603735,848.960625946492,847.594649167087,846.942453306411,841.610802624937,844.676426047451,836.147905098435,841.531044926805,844.87834427057,844.464411913175,842.6925795053,848.804139323574,850.098939929329,849.675416456335,847.973750630994,845.170116102978,849.591115598183,848.378596668349,849.275113579001,843.042907622413,846.536092882383,844.791014639071,838.256436143362,838.599192327108,843.991923271075,843.887935386169,839.036850075719,840.948006057547,839.262998485613,844.570418980313,841.342251388188,841.018172640081,841.375567895003,845.485108531045,839.516405855628,834.380111055023,828.522463402322,833.005552751136,829.216052498738,837.808177688036,838.73397274104,841.049469964664,841.792024230187,846.212518929833,846.042907622413,837.515901060071,842.746087834427,841.60323069157,842.202423018677,836.43816254417,835.765270065623,839.250378596668,833.264008076729,841.355376072691,838.666834931853,833.372539121656
917.397793640493,832.45554834523,828.020116807268,827.865022712524,821.74561972745,823.906554185594,825.229720960415,833.264763140818,826.537313432836,826.74367293965,813.231667748216,818.940298507463,818.584685269306,823.5048669695,823.743024010383,826.887735236859,826.906554185594,827.423750811162,823.229720960415,824.941596365996,828.645684620376,830.384166125892,826.312134977287,826.436729396496,824.728098637249,826.152498377677,824.060999351071,827.55613238157,825.397793640493,820.632057105776,818.448410123297,819.284879948086,825.886437378326,827.630759247242,821.628163530175,826.422452952628,826.589227774173,835.996755353666,825.216742375081,826.057754704737,816.321219987021,818.55029201817,817.526930564568,820.421804023361,825.576249188838,827.578844905905,826.970798182998,830.767034393251,827.030499675535,826.277741726152,824.911745619727,828.602855288774,826.754055807917,824.386112913692,822.880597014925,827.45165476963,823.138870863076,824.833225178456,818.980532121999,824.515898767034
824.651560926485,794.160120845921,787.201409869084,790.7583081571,785.431017119839,785.370594159114,783.801611278953,785.346424974824,782.067472306143,787.472306143001,773.595166163142,778.544813695871,781.215508559919,780.727089627392,785.354481369587,785.27693856999,786.746223564955,785.608257804632,785.133937562941,781.442094662639,788.33635448137,784.985901309164,785.624370594159,784.648539778449,785.074521651561,779.29003021148,778.21752265861,784.776435045317,781.109768378651,780.484390735146,774.842900302115,778.436052366566,774.803625377643,779.909365558912,777.919436052367,777.392749244713,780.531722054381,790.210473313192,778.549848942598,778.254783484391,771.155085599194,770.835850956697,769.014098690836,775.274924471299,775.887210473313,777.269889224572,779.295065458207,785.702920443102,782.627391742195,783.065458207452,783.124874118832,785.730110775428,792.211480362538,781.628398791541,778.157099697885,784.445115810675,787.800604229607,780.486404833837,786.158106747231,787.350453172205
