"","l-caud","L-cinga","L-fmedc","l-operc","L-forbc","L-front","l-inffrontgop","l-inffrontgtri","l-juxlob","l-mfg","l-parcing","L-prefront","-subcall","l-sfg","l-ins","l-cun","l-calc","l-latocinf","L-ling","L-occfus","L-occp","L-ang","L-cingpost","L-latoccsup","L-postcent","L-precun","L-supparl","L-supmargga","L-supmarggp","l-lent","l-stg","l-itg","l-itgtempoc","l-amig","l-hip","l-mtgant","l-mtgpost","l-mtgtempoc","l-parhipc","l-plan","l-tfus","l-tofus","l-tempp","l-thal","l-caud","r-cinga","r-fmedc","r-operc","r-forbc","r-front","r-inffrontgop","r-inffrontgtri","r-juxlob","r-mfg","r-parcing","r-prefront","r-subcall","r-sfg","r-ins","r-cun","r-calc","r-latocinf","r-ling","r-occfus","r-occp","r-ang","r-cingpost","r-latoccsup","r-postcent","r-precun","r-supparl","r-smargant","r-smargpost","r-lent","r-stg","r-itg","r-itgtempoc","r-mtgant","r-mtgpost","r-mtgtempoc","r-parhipc","r-plan","r-amig","r-hip","r-tfus","r-tofus","r-tempp","r-thal"
"T014",797.468702290076,894.593908629442,564.55081300813,808.039258451472,537.956155143339,455.569139966273,710.912813738441,583.219544846051,708.001261034048,546.035860333438,891.16011042098,410.648956764896,572.704318936877,721.000960922486,833.078101071976,828.692179700499,930.939566704675,844.464411913175,823.5048669695,780.727089627392,457.813624678663,878.655851680185,917.828237410072,426.7659616525,331.324351804779,762.317660125879,372.869402985075,646.302796528447,802.660774410774,656.323285606632,795.560882070949,450.587890625,813.685871056241,411.543130990415,693.65350877193,670.642058165548,815.160197600565,951.673469387755,509.335869565217,882.245417515275,512.836166924266,830.875,512.50542118432,939.264334862385,1035.3144963145,1008.52631578947,579.063683304647,780.07300188798,526.056803995006,700.832361335153,798.724743777452,663.4,692.752793296089,615.146282140375,1062.63328424153,538.927430397079,449.50430292599,783.581608415338,825.396242527754,903.668891855808,953.424892703863,892.742844161745,822.932075471698,774.248144220573,462.183765112263,957.329444063143,874.654770575382,548.545992893802,498.440579710145,776.209302325581,616.672033392964,758.399071925754,853.153219233904,657.307228915663,728.555004955401,278.76391825229,590.45375,546.878345498783,702.40522875817,943.692368214005,389.429032258065,905.206595538312,261.579746835443,663.119153674833,381.228346456693,708.896276595745,459.561497326203,926.586681974742
"T015",796.47786259542,895.228426395939,564.802845528455,807.682115594329,538.78527262507,456.615654862282,713.566710700132,584.364123159304,708.53972257251,548.867253853413,892.052449965493,411.477091847709,572.827242524917,726.255605381166,832.956355283308,828.996672212978,935.346636259977,842.6925795053,823.743024010383,785.354481369587,456.657455012853,878.790266512167,922.367805755396,425.627594386242,332.399084900864,767.241392077009,373.338308457711,650.23143683703,805.911616161616,654.873398643557,799.710450623202,453.677734375,813.737997256516,412.741214057508,698.088815789474,672.069351230425,821.47918136909,959.602040816327,513.289130434783,887.548879837067,514.569551777434,830.556402439024,509.426188490409,940.260894495413,1037.65110565111,1010.36618141097,584.056798623064,780.574575204531,526.945692883895,702.614716466063,803.023426061493,665.952941176471,692.251396648045,615.750868658791,1062.99263622975,539.709265175719,453.576592082616,785.708517136071,822.905209222886,905.287049399199,955.682403433476,895.428895956383,824.043665768194,775.83032873807,464.416234887737,956.107069320522,877.037873270211,551.215752072641,499.736231884058,779.326537113731,618.500298151461,758.458236658933,853.225753871231,656.668674698795,731.16650148662,280.019732205779,589.5125,542.703163017032,702.803921568627,949.393391030684,392.193548387097,907.558680892338,259.043037974684,664.168151447661,383.511811023622,704.275265957447,459.158782394077,927.929391504018
"T016",798.887022900763,900.260575296108,568.247967479675,808.179934569248,541.010118043845,457.518128161889,711.513870541612,581.528781793842,711.554854981085,553.395407360805,896.088336783989,412.733921273392,571.161129568106,729.74599615631,829.814701378254,836.319467554077,940.800456100342,848.804139323574,826.887735236859,785.27693856999,459.59383033419,876.872537659328,931.247302158273,426.427159517691,333.820284697509,777.881895594224,373.600746268657,651.301832208293,811.742424242424,655.313489073097,794.790028763183,454.690755208333,814.982167352538,414.019169329073,696.294956140351,675.41610738255,816.949188426253,958.640589569161,513.735869565217,885.170061099796,515.499227202473,832.425304878049,518.819432860717,942.943233944954,1037.92014742015,1012.30179171333,588.795180722892,784.336060415356,526.926966292135,706.519791537412,802.243045387994,669.426890756303,696.343575418994,614.954829742877,1068.18924889543,540.845960748517,451.619621342513,787.647438072616,824.745516652434,909.783711615487,961.583690987124,897.184915947297,825.944474393531,776.007423117709,463.702590673575,959.098146877145,883.625637290604,550.825108566917,500.430434782609,786.191462249124,619.424567680382,762.692575406032,855.234718826406,658.142319277108,735.747274529237,284.54334038055,591.42125,550.30900243309,706.092229484386,950.089693154996,396.211827956989,911.437439379243,259.820253164557,666.153674832962,383.681539807524,706.242021276596,461.029617441382,932.862801377727
"T017",796.671755725191,899.328257191201,568.516260162602,808.379498364231,541.329960652052,457.991006183249,708.974900924703,583.435073627845,710.542244640605,548.112928593897,894.416839199448,412.13959991396,568.606312292359,725.289878283152,831.089586523737,838.480865224626,934.039908779932,850.098939929329,826.906554185594,786.746223564955,462.161953727506,876.768250289687,925.165467625899,429.647558806088,332.814438230808,773.787486116253,375.496890547264,649.115718418515,809.491582491582,658.511680482291,798.868648130393,454.029296875,817.026063100137,412.297124600639,696.504385964912,677.675615212528,815.131968948483,953.403628117914,510.445652173913,882.609979633401,515.037094281298,834.295731707317,518.311092577148,941.627866972477,1037.93366093366,1013.90145576708,593.008605851979,783.969792322215,525.734082397004,705.887703188981,795.998535871157,664.489075630252,694.29748603352,616.423558026407,1069.89690721649,542.216795983569,448.271944922547,785.953851374279,828.210076857387,909.041388518024,953.158798283262,898.240345297592,827.581132075472,776.9098621421,465.631778929188,963.805765271105,880.512017479971,550.735096723253,501.94115942029,783.627906976744,620.398926654741,762.531322505801,856.921760391198,657.821536144578,735.10307234886,282.403100775194,590.26125,552.67396593674,704.045751633987,955.581431943352,396.335483870968,908.581959262852,262.445569620253,665.760579064588,383.967629046369,708.226063829787,463.512957630605,930.076923076923
"T018",801.135877862595,898.798646362098,568.59756097561,810.99945474373,541.713322091062,459.27107925801,713.208718626156,587.202141900937,711.253467843632,550.429065743945,893.11939268461,411.682082168208,578.511627906977,725.771941063421,835.136294027565,834.113144758735,935.718358038769,849.675416456335,827.423750811162,785.608257804632,460.94440874036,879.958285052144,923.791366906475,427.260130460565,333.28546009151,773.250277674935,375.868781094527,655.538090646094,811.207070707071,658.513941220799,802.41514860978,454.613932291667,817.524005486968,414.789137380192,697.695175438596,674.666666666667,821.097388849682,956.578231292517,510.639130434783,887.790224032587,515.289026275116,832.765243902439,514.073394495413,942.79873853211,1040.06388206388,1012.55599104143,582.793459552496,783.422907488987,529.162297128589,704.770070728378,805.10541727672,667.403361344538,696.614525139665,618.514940931202,1066.96097201767,541.569831127339,456.97934595525,788.637258228707,825.858240819812,909.895861148198,958.106223175966,897.967741935484,827.638814016173,777.973488865323,467.445941278066,960.68840082361,877.696285506191,554.566916699566,500.555362318841,783.242115323351,622.294573643411,760.544083526682,859.473512632437,659.761295180723,733.428146679881,281.474982381959,592.46125,547.586374695864,705.938997821351,950.877261998426,391.77311827957,909.70417070805,261.592405063291,664.182628062361,382.567804024497,709.644946808511,464.293294940354,930.90757749713
"T019",797.803053435115,898.060067681895,562.658536585366,809.251908396947,539.721753794266,457.626194491287,712.005284015852,586.194109772423,710.017654476671,549.817552689525,892.32022084196,411.490643149064,573.046511627907,723.711402946829,832.85528330781,829.930116472546,931.765108323831,847.973750630994,823.229720960415,785.133937562941,459.464652956298,875.225955967555,922.880395683453,423.955524807274,333.410523640061,767.122917437986,375.214552238806,651.658630665381,805.982323232323,656.22004521477,797.691275167785,451.098307291667,814.595336076818,409.41214057508,694.61951754386,671.744966442953,814.592095977417,953.722222222222,511.155434782609,885.311608961303,513.87171561051,831.894817073171,511.258965804837,940.240252293578,1037.97788697789,1010.6131019037,585.838209982788,783.470736312146,526.255305867665,700.67799975183,794.442166910688,663.564705882353,691.125698324022,613.824530924253,1060.46686303387,540.657005933364,453.454388984509,785.450967085171,826.292912040991,900.654205607477,952.048283261803,893.174011812812,823.598921832884,775.469777306469,464.974784110535,960.295813315031,876.923525127458,549.485984998026,499.748695652174,777.985982797069,619.655336911151,758.596287703016,855.333333333333,656.640813253012,728.496531219029,279.464411557435,589.74625,542.805352798053,703.095134350036,945.926829268293,389.398924731183,906.808923375364,260.663291139241,664.101336302895,381.371828521435,708.267287234043,459.039901275195,928.190585533869
"T020",800.116030534351,899.946700507614,564.388211382114,808.176663031625,533.818999437886,457.668212478921,713.264200792602,587.63453815261,710.247162673392,551.180559924505,894.67839889579,411.270165627017,572.654485049834,726.33536194747,831.989280245023,834.058236272879,935.66590649943,845.170116102978,824.941596365996,781.442094662639,462.256426735218,878.711471610661,925.470323741007,427.55208539237,333.416115912557,772.396890040726,374.907960199005,655.683702989392,810.702861952862,657.91710625471,800.976030680729,457.942057291667,814.186556927298,409.594249201278,693.547149122807,676.668903803132,824.306280875088,952.037414965986,509.395652173913,884.715885947047,516.136785162287,832.452743902439,513.300250208507,940.096903669725,1038.41646191646,1011.48376259798,589.428571428571,782.884203901825,529.425717852684,705.605410100509,796.235724743777,664.744537815126,693.649441340782,618.695621959694,1066.39764359352,540.228662711091,454.151462994836,786.308788598575,824.562766865927,910.85046728972,955.252145922747,897.409359382099,825.822102425876,777.907741251326,465.195164075993,956.566918325326,881.369264384559,552.01283063561,499.669565217391,782.198470850589,622.159212880143,761.7343387471,859.812550937245,657.810993975904,731.050545094153,279.553911205074,591.41625,547.669099756691,701.882352941176,945.260424862313,396.969892473118,908.546071774976,266.316455696203,665.570155902004,382.048993875766,704.178191489362,464.356232003291,929.621699196326
"T021",798.621374045802,899.403553299492,571.030487804878,810.767175572519,540.258010118044,458.08305227656,710.129458388375,584.958500669344,710.877679697352,552.391632588864,893.732919254658,413.057861905786,572.800664451827,729.904548366432,834.423430321593,836.742096505824,939.901938426454,849.591115598183,828.645684620376,788.33635448137,458.769280205656,879.898030127462,929.507194244604,427.326546748369,334.049567869853,779.302480562755,375.717661691542,658.777242044359,811.909932659933,658.330067822155,803.365292425695,456.787109375,815.289437585734,413.808306709265,698.40350877193,676.295302013423,822.057868736768,964.119047619048,508.002173913043,886.741344195519,515.74343122102,833.530487804878,516.184320266889,941.491399082569,1036.02825552826,1016.94120940649,591.953528399311,784.777218376337,527.978152309613,708.36332051123,803.475841874085,670.383193277311,696.129888268156,619.382209867964,1069.13549337261,542.173893199452,448.881239242685,790.447234475738,826.65926558497,914.291054739653,961.045064377682,899.528396183553,829.150943396226,776.922587486744,464.599654576857,960.868908716541,884.625637290604,554.899526253454,501.348985507246,788.341828607837,623.0190816935,761.104408352668,858.321108394458,659.674698795181,735.815659068385,283.471458773784,590.76,552.209245742092,706.353667392883,956.3564122738,396.70752688172,909.017458777886,263.916455696203,663.486636971047,384.534558180227,708.936170212766,464.905800082271,928.977611940299
"T022",798.24427480916,898.712351945854,568.605691056911,806.877317339149,535.297920179876,457.593591905565,705.660501981506,581.030789825971,710.147540983607,551.936458005662,893.505866114562,410.90449559045,572.031561461794,730.531069827034,830.094180704441,838.206322795341,939.345496009122,848.378596668349,830.384166125892,784.985901309164,461.375964010283,879.292004634994,928.234712230216,426.862423403835,332.146415861718,779.597186227323,374.521144278607,648.088717454195,809.608585858586,653.322532027129,794.635666347076,454.556640625,813.903978052126,411.316293929712,695.330043859649,671.592841163311,821.937191249118,957.352607709751,512.058695652174,884.658859470468,514.724111282844,834.435975609756,513.924520433695,942.421444954128,1037.22972972973,1012.91881298992,593.091222030981,784.267463813719,530.89138576779,709.789800223353,806.443631039532,669.132773109244,692.895251396648,616.794301598332,1069.74153166421,540.018028297581,451.845094664372,789.99966067187,822.795046968403,912.176234979973,960.507510729614,898.429804634257,829.070619946092,778.414634146341,469.798618307427,959.570350034317,883.200291332848,550.816423213581,500.12231884058,788.507167887862,618.884913536076,760.88283062645,854.169519152404,657.490210843373,734.238850346878,280.977448907681,591.62125,549.69099756691,706.741466957153,952.674272226593,399.310752688172,907.544131910766,264.329113924051,665.044543429844,382.554680664917,698.897606382979,462.286301933361,932.551090700344
"T023",797.453435114504,899.004230118443,567.951219512195,808.362595419847,542.186059584036,459.728358628443,709.457067371202,586.821954484605,707.441361916772,553.966656181189,894.326432022084,410.956549795655,571.652823920266,729.804292120436,829.950995405819,837.066555740433,939.144811858609,849.275113579001,826.312134977287,785.624370594159,461.946336760925,876.54808806489,926.443345323741,424.690254991105,332.275546517539,774.010366530914,374.373134328358,652.111861137898,810.5,655.715146948003,795.271332694152,454.311848958333,813.576131687243,412.361022364217,694.900219298246,674.480984340045,817.741002117149,959.52947845805,511.529347826087,883.141547861507,514.534775888717,832.004573170732,518.964553794829,939.842889908257,1037.86117936118,1011.6170212766,590.277108433735,781.117684078037,526.044319600499,706.313934731356,790.639824304539,666.764705882353,691.329608938547,613.1553161918,1068.78792341679,539.974440894569,450.896729776248,787.068204954191,821.923996584116,908.483311081442,957.24356223176,896.200363471149,823.995687331536,777.603393425239,466.39689119171,961.711736444749,879.26292789512,552.230556652191,498.592753623188,782.812360624403,618.328562909958,754.534802784223,852.714751426243,657.172439759036,729.503468780971,283.171247357294,589.70375,550.394160583942,703.040668119099,953.164437450826,395.961290322581,903.936954413191,260.341772151899,663.763919821826,383.447944006999,707.162234042553,463.363636363636,929.9598163031
